diet_cat_id,food,weight,cals,protein,fats,carbs,fiber,average_portion,portion_cals,portion_protein,portion_fat,portion_carbs,portion_fiber,active
7,Onion,100g,45,1,0,7.9,2.2,20g,9,0,0,1.6,0,1
7,Pea,100g,82,5.3,0.7,10,5.3,60g,49,3.2,0,6,3.2,1
7,Bell Pepper,100g,34,1,0,4.8,2,80g,27,0.8,0,3.8,1.6,1
7,Radicchio,100g,28,1.4,0,3.6,0.9,50g,14,0.7,0,1.8,0,1
7,Radish,100g,14,0.7,0,1.9,0.9,40g,6,0,0,0.8,0,1
7,Runner Bean,100g,26,1.6,0,3.1,2,70g,19,1.1,0,2.2,1.4,1
7,Spinach,100g,19,2.6,0,0.6,1,80g,15,2.1,0,0,0.8,1
7,Tomato,100g,21,0,0,3,1,85g,75,0,0,2.6,0.9,1
3,Avocado,100g,201,1.9,20,1.9,3.4,70g,141,1.3,14,1.3,2.4,1
3,Butter,100g,749,0.6,82,0.6,0,1 tsp,67,0,7.4,0,0,1
3,Chia Seed,100g,469,18,31,7.8,39,20g,94,3.7,6.3,1.6,7.7,1
3,Coconut Oil,100g,903,0,100,0,0,1 tsp,81,0,9,0,0,1
3,Coconut Milk,100ml,32,0,2,1.9,0.5,250ml,79,0.8,5,4.7,1.3,1
3,Coconut Yoghurt,100g,219,2.5,21,3.9,0,100g,219,2.5,21,3.9,0,1
3,Feta Cheese,100g,253,15,20,1.4,0,30g,76,4.6,6.1,0,0,1
3,Ghee,100g,883,0,98,0,0,5g,44,0,4.9,0,0,1
3,Nuts - Almond,100g,620,21,53,7,16,10g,62,2.1,5.3,0.7,1.6,1
3,Nuts - Brazil,100g,711,16,68,2.9,8.1,25g,178,4.1,17,0.7,2,1
3,Nuts - Cashew,100g,597,21,48,17,4.4,22g,131,4.6,11,3.7,1,1
3,Nuts - Macadamia,100g,762,7.9,78,4.5,5.3,25g,191,2,19,1.1,1.3,1
3,Nuts - Walnuts,100g,714,17,69,3.1,5.9,15g,107,2.6,10,0,0.9,1
3,Nut Butter (peanut),100g,640,29,53,7.2,7,1 tbsp,128,5.7,11,1.4,1.4,1
3,Olives (green),100g,114,0.9,11,0,4,15g,17,0,1.7,0,0.6,1
3,Olive Oil,100ml,903,0,100,0,0,1 tbsp,108,0,12,0,0,1
3,"Yogurt (plain, full fat)",100g,84,5.6,3,7.6,0,125g,104,7,3.8,9.5,0,1
8,Basil,100g,266,14,4,43,0,2g,5,0,0,0.9,0,1
8,Caraway,100g,468,29,15,45,38,2g,9,0,0,0.9,0.8,1
8,Dill,100g,311,20,4.4,41,14,2g,6,0,0,0.8,0,1
8,Fennel,100g,324,16,15,12,40,2g,6,0,0,0,0.8,1
8,Garlic,100g,106,7.9,0.6,15,4.4,3g,3,0,0,0,0,1
8,Marjoram,100g,284,13,7,43,0,2g,6,0,0,0.9,0,1
8,Mint,100g,279,25,"4,6",35,0,2g,6,0,0,0.7,0,1
8,Mustard Seed,100g,416,29,29,0,21,2g,8,0.6,0.6,0,0,1
8,Oregano,100g,257,9,4.3,24,43,2g,5,0,0,0,0.9,1
8,Parsley,100g,273,16,7,14,45,2g,5,0,0,0,0.9,1
8,Rosemary,100g,755,0,77,15,0,2g,15,0,1.5,0,0,1
8,Sage,100g,312,11,13,39,0,2g,6,0,0,0.8,0,1
8,Thyme,100g,358,9.1,7.4,45,37,2g,7,0,0,0.9,0.7,1
8,Cayenne Pepper,100g,330,12,17,32,0,2g,7,0,0,0.6,0,1
8,Chilli,100g,312,14,14,15,35,2g,6,0,0,0,0.7,1
8,Cinnamon,100g,238,4,1.2,26,53,2g,5,0,0,0.5,1.1,1
8,Coriander,100g,359,12,18,16,42,2g,7,0,0,0,0.8,1
8,Cumin,100g,406,18,22,28,11,2g,8,0,0,0.6,0,1
8,Ginger,100g,313,7.4,3.3,56,14,2g,6,0,0,1.1,0,1
8,Paprika,100g,316,14,13,18,35,2g,6,0,0,0,0.7,1
8,Turmeric,100g,404,6.7,7,67,23,2g,8,0,0,1.3,0,1
9,Kefir,100g,58,6.1,2,3.4,1,30g,17,1.8,0.6,1,0,1
9,Kimchee,100g,22,1.1,0.5,2.4,1.6,40g,9,0,0,1,0.6,1
9,Kombucha,100ml,13,0,0,3.1,0,250ml,33,0,0,7.7,0,1
9,Probiotic Yoghurt,100g,80,1.2,1.3,16,0,65g,52,0.8,0.8,10,0,1
9,Sauerkraut,100g,13,1.1,0,1.1,2.2,30g,4,0,0,0,0.7,1
